*,冰晶护盾,法术屏障,易筋经,圣灵体魄,圣灵力魄,统御之力,战士训练,勇往直前,紫电神功,游龙身法,敏锐急行,敏锐感知,奇思妙想,神秘学,魔法天赋,法术幻想,魔法学识,神学,法师训练,隐身姿态,暗影迷踪,强化魔法,诅咒之灵,精准施法,百发百中,瞄准姿态,金刚不坏神功,圣贤附体,全神贯注,专注,坚定意志,法术辨识,百毒不侵,冥想,身轻如燕,鬼影身法,一触即发,飞天姿态,顺风而行,炼气之术,五行真气,健壮身躯,长生术,攻守兼备,要害攻击技巧,魔力增幅,痛苦腐蚀,暗黑狂暴,能量爆裂,集气爆发,精通重击,坚定重击,狂战之怒,奥术重击,精通反击,魔法反馈,伤害反弹,魔法反制,反击风暴,进阶法术修炼,魔法检测,对抗技巧,远程攻击,弱点攻击,精华汲取,北冥神功,血之饥渴,回光调息,能量补给,魔法回路,能量偷取,九阳真气,法力提升,奥术专精
体质,,,125,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
体质百分比,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
力量,,,,,120,65,65,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
力量百分比,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
敏捷,,,,,,,65,,120,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
敏捷百分比,,,,,,,,,,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
智力,,,,,,,,,,,,,90,90,55,55,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
智力百分比,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
感知,,,,,,,,,,,,70,,,,,120,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
感知百分比,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
